,ISBN,Book_Title,Description
234018,0805039759,Music to My Ears,"A collection of essays taken from the ""Music to My Ears"" column of Billboard magazine champions the work of such performers as Alanis Morissette, Liz Phair, Joan Osbourne, PJ Harvey, Jack Logan, and Rage Against The Machine."
234019,0195107918,Enchanted Evenings,"Focusing on Broadway musicals from the 1930s to the late 1950s, Block (music, U. of Puget Sound) offers in-depth studies of 14 musicals. He draws on such manuscript materials as musical sketches, autograph manuscripts, prepreoduction librettos, and lyric drafts to show how the musical took shape, and in particular, the ways in which librettist, lyricist, composer, and director worked together to shape the music. Appendices include lists of the songs in the musicals and lists of long-running musicals. Annotation copyrighted by Book News, Inc., Portland, OR"
234020,1568810970,Mobile Robots,"Revised and updated, the second edition includes several new chapters with projects and applications. The authors keep pace with the ever-growing and rapidly expanding field of robotics. The new edition reflects technological developments and includes programs and activities for robot enthusiasts. Using photographs, illustrations, and informative text, Mobile Robots guides the reader through the step-by-step process of constructing two different and inexpensive yet fully functional robots."
234021,1893115844,Extreme MINDSTORMS,"Five experts in Mindstorm programming present advanced techniques for building and programming robots using LEGO bricks and LEGO's RCX Code, presenting advanced sample projects and coverage of LegOS, pfForth, and sensor development."
234022,0452270324,A Member of the Family,"And in turn, effectively reveal to us much about our own. A deeply emotional and beautifully conceived collection, A Member of the Family raises simple truths about our families to the universal truth of art."
234023,1893115097,Dave Baum's Definitive Guide to Lego Mindstorms,"Step-by-step instructions show how to build a Lego Mindstorm programmable robot that not only moves, but can also sense and respond to its environment."
234025,019866253X,Oxford Reader's Companion to Dickens,"The Oxford Companion to Dickens (published in hardback as The Oxford Reader's Companion to Dickens) offers in one volume a lively and authoritative compendium of information about Dickens: his life, his works, his reputation and his cultural context. In addition to entries on his works, his characters, his friends and places mentioned in his works, it includes extensive information about the age in which he lived and worked: the people, events, and institutions which provided the contextfor his work; the houses he lived in, the countries he visited, the ideas he satirised, the circumstances he responded to, the culture he participated in. Compiled by a distinguished editorial team, The Oxford Companion to Dickens provides a synthesis of the state of the art of Dickens studies and contains a more authoritative, concise, extensive and accessible range of information than any other reference work on Dickens."
234026,0435080164,Decolonising the Mind,A summary of some of the issues in which Ngugi has been passionately involved.
234027,0028604342,Dinosaur!,"Written by world-renowned expert David Norman, this volume takes readers on a grand tour of the Mesozoic era--the age of the Hadrosaurs, the Apatosaurs, Stegosaurs, and the fearsome Tyrannosaurus Rex. With evocative text and full-color illustrations, it brings the latest theories of how dinosaurs lived and what might have led to their cataclysmic extinction."
234028,1567512267,Tinderbox,An accessible primer on the US and the Middle East.
234029,0807031429,In Schools We Trust,"We are in an era of radical distrust of public education. Increasingly, we turn to standardized tests and standardized curricula-now adopted by all fifty states-as our national surrogates for trust. Legendary school founder and reformer Deborah Meier believes fiercely that schools have to win our faith by showing they can do their job. But she argues just as fiercely that standardized testing is precisely the wrong way to that end. The tests themselves, she argues, cannot give the results they claim. And in the meantime, they undermine the kind of education we actually want. In this multilayered exploration of trust and schools, Meier critiques the ideology of testing and puts forward a different vision, forged in the success stories of small public schools she and her colleagues have created in Boston and New York. These nationally acclaimed schools are built, famously, around trusting teachers-and students and parents-to use their own judgment. Meier traces the enormous educational value of trust; the crucial and complicated trust between parents and teachers; how teachers need to become better judges of each others' work; how race and class complicate trust at all levels; and how we can begin to 'scale up' from the kinds of successes she has created."
234032,0446605107,Leonard Nimoy's Primortals,"Aliens Reclaim the Earth! Long before man dominated the planet, Earth was visited by a scientifically advanced species. Armed with the knowledge that an impending ecological cataclysm would destroy all indigenous life, these ""visitors"" removed the most promising specimens to save them from destruction. On new worlds, they evolved into the most advanced and deadly beings in the universe. Now, many millennia later, these creatures are coming home for an ""alien"" reunion, and to reclaim what was rightfully theirs -- planet Earth. ""A cosmic SF concept"". -- Science Fiction Age ""Exciting... recommended"". -- Library Journal ""Perry draws main characters who are well-developed. He throws a liberal amount of romance into the plot, altogether forming a solid base for possible future novels. Interesting, enjoyable, and recommended for most collections"". -- John O. Christensen, VOYA"
234033,0935028870,Sustainable Agriculture and Resistance,"""This is a story of resistance against all odds, of Cuba's remarkable recovery from a food crisis brought on by the collapse of trade relations with the former socialist bloc and the tightening of the U.S. embargo. Unable to import either food or the farm chemicals and machines needed to grow it via conventional agriculture, Cuba turned inward toward self-reliance. Sustainable agriculture, organic farming, urban gardens, smaller farms, animal traction and biological pest control are part of the successful paradigm shift underway in the Cuban countryside. In this book Cuban authors offer details-for the first time in English-of these remarkable achievements, which may serve as guideposts toward healthier, more environmentally friendly and self-reliant farming in countries both North and South.""--Publisher's description"
234034,089608521X,Triumph of the Market,"**** The third edition (1990) is cited in Brandon-Hill. A text that focuses on the decision-making process which precedes and governs the selection of treatment of various pediatric orthopedic conditions. Each author provides the basic science that relates to the condition under discussion and the scientific basis for treatment decisions. This revised and updated edition is also completely reorganized, adding a second editor and 16 new authors. New chapters deal with orthopedic genetics, history taking and examination of the pediatric patient, syndromes and localized disorders affecting bone, neuromuscular disorders, and fracture treatment, a major portion of pediatric orthopedic practice. Thoroughly illustrated in bandw. Annotation copyright by Book News, Inc., Portland, OR"
234035,088295055X,The Communist Manifesto,"Edited by Samuel H. Beer, with key selections from Capital and The Eighteenth Brumaire of Louis Bonaparte, this volume features an especially helpful introduction that serves as a guide to Marxist political and economic theory and to placing the specific writings in their contemporary setting. Included are a bibliography and list of important dates in the life of Karl Marx."
234036,0553492217,Breaking Away,Jessica Wakefield will do anything to keep her twin sister from leaving SVU--including impersonating her.
234037,1560254424,Pity the Nation,"Fully updated to include the Israeli withdrawal from south Lebanon and Ariel Sharon's electoral victory, this American edition has sixty pages of new material and a revised preface.""--BOOK JACKET."
234038,0786881410,Four Rooms,Press kit includes 1 pamphlet and 9 photographs.
234039,0761919244,News for a Change,"If you think it's time for a change, then News for a Change is the book for you.""--BOOK JACKET."
234040,1556113331,The Wrong Gun,"After Russ Timberlaine, a wealthy gun collector, tells Steve Winslow that one of his pistols is missing, a body is found in Timberlaine's mansion, apparently killed by the stolen firearm. By the author of The Naked Typist."
234043,0060650133,What God Wants to Know,"Now in paperback: Insights from the popular copastor of the Crystal Cathedral who explores the forgotten side of prayer--listening--and shows how ten questions God asks throughout the Bible open the way to a new, more fulfilling relationship with God. Foreword by Robert Schuller. Index."
234044,1556343159,GURPS Ultra-Tech,"-- One of our most popular sourcebooks, usable with any futuristic game. -- Dozens of different sci-fi weapons, to let players reproduce anything Hollywood can come up with! -- Also includes sci-fi medicine, communications, and other gadgetry."
234045,1556342330,GURPS Robots,"A cold-eyed stare from the shadows of the alley ... the spine-tingling scrape, scrape as metallic feet drag along the concrete ... the squeak and whirr of hinges and hydraulics as the machine approaches. The robot is an intriguing yet sinister being -- created to serve, but in many ways superior to its weak and fallible human masters. We need the robots. Do they need us?"
234048,0062509284,The Crone,"""A probing account of the honored place of older women in ancient matriarchal societies restores to contemporary women an energizing symbol of self-value, power, and respect.""--Amazon.ca."
234049,1556342403,GURPS Autoduel,"-- Brings the best-selling Car Wars background to roleplaying. -- 32 pages longer than the first edition, completely updated."
234050,055313390X,Runaways,"A 1978 musical about the lives of runaway teens on city streets. Based on true stories from real runaways, and some in the cast had themselves been runaways. Performed first off-Broadway, and later on Broadway."
234052,1556343272,GURPS Compendium II,"-- Another best-selling rules supplement for the GURPS system. -- Convenient lie-flat binding, so this valuable reference book will last a long time. -- Includes the popular Mass Combat System for GURPS!"
234053,155634290X,GURPS Compendium I,"-- The top-selling rules supplement for the GURPS system. GURPS Compendium I collects in one volume all the new rules that have been added to the GURPS character creation system since the GURPS Basic Set, 3rd Edition, was released in 1988. Compendium I contains hundreds of advantages, disadvantages, and skills, and other rules for character creation, all in one place!"
234054,0911226214,A Soprano on Her Head,"Eloise Ristad deals here with complex problems which torment and cripple so many of our most creative and talented people, and she does so with compassion, wisdom, and wit. The problem of stage fright, for instance, is a suffering of epidemic proportions in our society, and involves modalities of thought and projections that rob spontaneity and enthusiasm in artistic performance. Those interested in creative education have long felt that an entirely new, holistic and nurturing process of allowing individuals to discover and express themselves is needed if our educational system is to avoid the neuroses and creative blocks of the past generation. This book illuminates through its conversational style the destructive inhibitions, fears, and guilt experienced by all of us as we fail to break through to creativity. This story is told to me day after day in conservatories and college campuses around the world. Indeed I felt at times that she was telling of my own most petty and debilitating fears. But what is important, A Soprano on Her Head supplies answers and methods for overcoming these universal psychological blocks--methods that have not only been proven in her own studio, but which trace back through history to the oldest and wisest systems of understanding the integration of mind and body. The work bears scrutiny both scientifically and holistically. - Foreword."
234055,1565846346,"Rich Media, Poor Democracy","The first paperback edition of a myth-breaking book on media, from one of today's most reputable and insightful media historian/critics. Winner of Harvard's Goldsmith Book Prize, Rich Media, Poor Democracy challenges the assumption that a society drenched in commercial information ""choices"" is a democratic one. Robert McChesney, whom Marc Crispin Miller calls ""the greatest of our media historians,"" argues that the major beneficiaries of the so-called Information Age are wealthy investors, advertisers, and a handful of enormous media, computer, and telecommunications corporations. This concentrated corporate control, McChesney maintains, is disastrous for any notion of participatory democracy. Combining unprecedented detail on current events with historical sweep, in a book Noam Chomsky calls a ""rich and penetrating study,"" McChesney chronicles the waves of media mergers and acquisitions in the late 1990s. He reviews the corrupt and secretive enactment of public policies surrounding the internet, digital television, and public broadcasting. He also addresses the gradual and ominous adaptation of the First Amendment as a means of shielding corporate media power and the wealthy, and he debunks the myth that the market compels media firms to ""give the people what they want."" In an eye-opening call to action, McChesney warns that we must organize politically to restructure the media if we want democracy to endure."
234057,0312873204,I Am of Irelaunde,"Years after escaping slavery in Ireland as a young man, Magonus Succatus Patricius returns to Ireland, determined to bring Christianity to the heathens, and finds himself joining forces with Osian, a great poetwarrior of the Fianna, who show ""Paidrig"" the true wonders of Eire. 20,000 first printing."
234059,067187280X,Night Shadows,"Jakes Sands retires from his danger-filled life after his family is murdered, but he discovers a body while jogging and begins an investigation, leading to more corpses and deadly confrontations. A first novel. 17,500 first printing."
234061,0262511053,The Global Internet Trust Register,"The development of electronic commerce and other applications on the Internet is held up by concerns about security. Cryptography - the science of codes and ciphers - will be a significant part of the solution, but one of the problems is enabling users to find out which cryptographic keys belong to whom."
234062,0060162058,"Murder, Mystery and Mayhem","Seeking adventure and romance, an elderly spinster becomes involved in a murder mystery at the Waddington Castle Hotel."
234063,1579120377,Complete Gilbert & Sullivan,"With over 200 line drawings by the author. This ultimate book for the millions of Gilbert & Sullivan fans across the country offers the complete text and lyrics of all the operettas of this most original, creative and much-loved musical team. Now both veteran and new fans can catch all the nuances of the quick moving wit, satire and wisdom often missed during performances and on recordings. This book covers all of this dynamic duo's plays including: Thespis, Trial by Jury, H.M.S. Pinafore, The Pirates of Penzance, The Sorcerer, Patience, Utopia, Limited, The Grand Duke, Iolanthe, Princess Ida, The Mikado, Ruddigore, The Yeomen of the Guard and The Gondoliers. Delightful illustrations by W. S. Gilbert adorn the pages, and an introduction by Deems Taylor brings new insight to the text."
234066,0201895420,Analysis Patterns,Martin Fowler is a consultant specializing in object-oriented analysis and design. This book presents and discusses a number of object models derived from various problem domains. All patterns and models presented have been derived from the author's own consulting work and are based on real business cases.
234068,0136298419,Object-oriented Modeling and Design,This text applies object-oriented techniques to the entire software development cycle.
234069,1559706546,The Freemasons,"Provides an in-depth history of freemasonry, exploring the inner workings of the powerful secret society, refuting many of the myths about the order, and shedding new light on the contributions of the freemasons to world history."
234070,0449147339,Death by Misadventure,"Spunky Phryne Fisher leaves her adopted London for 1920s Australia to investigate the desperate letters she has been receiving from well-bred Lydia, a young woman married to a low-down scoundrel"
234071,0375409734,The Runner,"In the aftermath of World War II, an American lawyer sent to defend Nazi war criminals pursues his hidden agenda--find the SS officer who is responsible for his brother's death."
234072,0131238299,Object-oriented Modeling and Design for Database Applications,"Written from a software engineering perspective, this book shows programmers & developers how to build object-oriented database applications for distributed & client/server environments using the newest update of the OMT methodology & UML."
234073,0688047009,First Stage,Profiles of new American Actors.
234074,0201309599,Design Patterns and Contracts,"""This book introduces the fundamentals of software contracts and illustrates how Design by Contract contributes to the optimal use of design patterns in a quality-oriented software engineering process. The Design by Contract approach to software construction provides a methodological guideline for building systems that are robust, modular, and simple."" ""Readers will find value in the book's overview of the Object Constraint Language, a precise modeling language that allows Design by Contract to be used with the industry standard Unified Modeling Language (UML). Although written in Eiffel, this book makes an excellent companion for developers who are using languages such as Java and UML. Throughout the book the authors discuss specific implementation issues and provide complete, ready-to-be-compiled examples of the use of each pattern."" ""They introduce design patterns and Design by Contract in the context of software engineering, and show how these tools are used to guide and document system design.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved"
234075,0130313033,E Marketing,"Written for undergraduate courses in Internet marketing, e-commerce, e-business, and digital and electronic marketing, this book discusses the necessary tools in the field of eMarketing."
234077,0738204331,Standardized Minds,"""Standardized Minds"" dramatically shows how an unhealthy and enduring obsession with intelligence testing affects everyone. Drawing creative solutions from the headlines and front lines, Sacks demonstrates proven alternatives to such testing, and details a plan to make the American meritocracy legitimate and fair."
234078,159182169X,Happy Mania Volume 1,"Shigeta, a young woman of 24, spends her days working at Tanaka Books and fretting over her love-life, or lack thereof. The thing is though, the obstacle between Shigeta and a satisfying relationship seems to be Shigeta herself. When it comes to men, the poor girl has exceedingly poor judgement, most likely brought on by even poorer self-esteem."
234079,0800786092,Pilgrim's Progress,The classic drama of Christian's journey to discover eternal life offers readers encouragement and direction for their own pilgrimage.
234080,0889740801,Storm Clouds Over Party Shoes,"""In-your-face anti-etiquette manual by a self-confessed 'recovering nice girl' ... an ironic blending of text and art, a nineties sensibility at work on a fifties agenda."" -Globe and Mail"
234081,0425136809,The Liberated Man,An updated version of the classic guide to male liberation explores the impact of the men's movement and offers a critique of the women's movement. Reprint.
234082,0671691805,The Water-Method Man,"The main character of John Irving's second novel, written when the author was twenty-nine, is a perpetual graduate student with a birth defect in his urinary tract--and a man on the threshold of committing himself to a second marriage that bears remarkable resemblance to his first....""Three or four times as funny as most novels.""THE NEW YORKER ""From the Paperback edition."""
234083,0553052934,This Far from Paradise,"When her father, Max McHenry, a prospector who struck it rich, is murdered, Rebecca takes control of his financial empire, loses the fortune due to a cold-blooded act of rebellion, and vows to rebuild her father's legacy"
234085,0679311378,Anti Diva,"Throughout her career, Carole Pope has blazed a trail for the diva and anti-diva in all of us, and here she offers a no-holds-barred look at her adventures in the music scene – on the concert stage, in the recording studio, and in the bedroom. Known for ushering Canada from the punk movement of the 1970s to the new wave sound of the 1980s with Rough Trade, she candidly shares her thoughts on AIDS, sexuality and sexual politics, and the new breed of music divas that dominates the charts today."
234086,0139316191,The Unofficial Guide to Walt Disney World & EPCOT,"First-time visitors t Walt Disney World and EPCOT can be overwhelmed by the variety of attractions. But thanks to this easy-to-use guide, vacationers can make the most of their visit. Here is a wealth of valuable features including: in-depth descriptions of Disney-MGM studios. Disney World's newest attraction, and the Typhoon Lagoon and Norway at EPCOT; ratings and evaluations of rides, concessions and shows; tips and warnings for first-time visitors; and more."
234088,0844237639,Esperanto,"This comprehensive course will enable you to reach a good standard of fluency in the international language, Esperanto. This carefully structured course will help you to master the essentials of Esperanto quickly, and to achieve basic fluency in the written and spoken language now used by eight million Esperantists worldwide."
234089,0671879588,Restraint,"When she discovers she has been used in the thrilling worlds of forbidden sex and male power, Vega Johnson is determined to reverse gender roles and even the score"
234090,0451166752,"2001, a Space Odyssey",Science fiction-roman.
234091,0020122802,The American Musical Theater,"A noted composer and conductor reviews the origins, evolution, and contemporary elements of the popular American art form."
234093,1569248303,Top Secret/MAJIC,"Argues that the government set up a top secret research group, MJ-12, to study an extraterrestrial spacecraft that crashed near Roswell, New Mexico in 1947."
234094,0812511786,Faithful Attraction,"A guide to marital happiness discusses the importance of money, what kind of sex matters most, children, and the working mother, and shows readers what happy marriages have in common. Reprint. AB."
234095,156924863X,Crash at Corona,"On July 8, 1947, the U.S. Army stated that the remains of a ""flying disk"" had been recovered from a ranch near Corona, New Mexico. Now, this book exposes the government's successful 40-year conspiracy to conceal the truth behind Americ's most documented UFO encounter."
234098,0609606239,Knight of the Sacred Lake,"As High King and Queen, Arthur and Guenevere reign supreme across the many kingdoms and islands of Great Britain. Reconciled with Arthur, Guenevere secretly mourns the loss of her beloved Lancelot, who has returned to the Sacred Lake of his boyhood, hoping to restore his faith in chivalry in the place where he first learned to be a knight. In a glittering ceremony at the annual feast of Pentecost, new knights are sworn to the Round Table, including Arthur's nephews, the cunning Agravain and his heroic brother Gawain. Camelot is reborn in all its glory, and after many years of strife, peace is restored to Guenevere's realm. But betrayal, jealousy, and ancient blood feuds fester unseen. Morgan Le Fay, now the proud possessor of Arthur's only son, Mordred, has become the focus of Merlin's age-old quest to ensure the survival of the house of Pendragon at all costs. And from the east comes the shattering news that Guenevere may have a rival for Lancelot's love. A bleak shadow falls again across Camelot--and across the sacred isle of Avalon, where Roman priests threaten the sanctity of the Hallows and the life of the Lady herself. At the center of the storm is Guenevere, a proud and powerful queen torn between her love for her husband, her people, and her knight, Sir Lancelot of the Lake. With rare and intuitive magic, Rosalind Miles brings to life a legendary woman's bravery and passion, and all the pageantry, heartbreak, violence, and beauty of an age gone by."
234099,0440221056,Murder for Love,"A collection of 16 original stories from today's foremost fiction writers--including Ed McBain, Jonathan Kellerman, Sara Paretsky, Mary Higgins Clark, Elmore Leonard, James Crumley, John Gardner, Anne Perry, Donna Tartt, Shel Silverstein, Bobbie Ann Mason, Carol Higgins Clark, William J. Caunitz, Michael Malone, and Faye Kellerman--each a brilliant mystery exploring that peculiar area that lies between love and death."
234101,0385334575,Go Tell it on the Mountain,"As one of the century's premier American writers, James Baldwin has profoundly altered the nation's social and literary consciousness. Go Tell It on the Mountain, Baldwin's first novel, brings Harlem and the black experience vividly to life, as it starkly contrasts two generations of an embattled black family."
234103,1895837707,St. Stephen's,"A sequel to Guilty, this novel follows the protagonist, Jack, through a sexually charged situation at the Catholic High school where he lives."
234104,0140039996,The Summer Before the Dark,"With her children grown and her husband away in America for several months, Kate Brown finds herself alone for the first time in twenty years."
234106,0385494297,Unzipped,"The dark and dirty secrets of the mating and dating scene are exposed as Courtney Weaver hears all from her friends--and tells a few secrets of her own--in this true-life Bridget Jones meets Tales of the City. Sexuality in the '90s is a different animal: While men and women have been given the tools to communicate, they haven't been given the instructions. With audacious, witty, and sometimes scandalous writing, Courtney Weaver's Unzipped follows her life and those of her friends as they attempt to navigate the waters of intimate relationships without paddles. Weaver, whose column ""Unzipped"" was ""Salon magazine's most popular feature, lends an indulgent ear to her friends as they wrestle with the lure of having sex with exes, predict bedroom prowess from kisses, and search for the most tactful way to reclaim favorite pieces of clothing left behind after messy breakups. Harriet is convinced that a concrete set of '50s-era rules is the only way to catch a mate, while Jemma turns to her own shocking set of rules in order to fulfill her desires. Meanwhile, Weaver's single-mom hairstylist Marie lends a sympathetic ear and an acerbic tongue when she too uncovers a sexual scandal in her own backyard. In the tradition of Tales of the City, but peopled with characters you might actually meet, Unzipped is a work of narrative nonfiction that explores all the complexities of sex in the '90s."
234109,0889782644,The Little Book of Wrinkles,"Getting older is not one of life's greatest pleasures. Or is it? Judge for yourself with The Little Book of Wrinkles, a charming and enlightening elixir on getting old(er). If you survive long enough you're revered-rather like an old building. - Lucille Ball"
234110,0439372933,Desiderata,"The inspirational words of Ehrmann's timeless poem, written in 1927, are paired with Tauss's lyrical, full-color photos that illustrate the poem's wisdom and affirmation of life."
234116,1551520036,The Little Black Leather Book of Rock 'n' Roll,"Quotations on the mythology, sensation, and hype that is rock music. I won't be happy until I'm as famous as God. -Madonna"
234125,0921912471,The Gates of Paradise,"An outstanding collection of the most imaginative and provocative short stories ever written on the power of sexual desire, by such celebrated names as James Baldwin, D.H. Lawrence, Doris Lessing, and others. Compelling from first page to last, the collection explores the intensity and astonishing variety of the erotic experience."
234128,0887846068,Portrait of a Thousand Punks,"Musiktegneserie baseret på et et fiktivt punk-band, Hard Core Logo's musikalske karriere."
234130,0471347795,"The Good, the Bad, and Your Business","Does the need to make a profit outweigh the need to reward employees fairly? Should you tell your staff why you fired someone and risk being sued for defamation? Is it more important to make payroll or pay your vendors? Business professionals face ethical decisions like these every day. Such dilemmas will keep even the most seasoned managers tossing and turning at night. You can rest assured that at some point in your career you'll be faced with making, or witness the making of, an ethical decision-and the action you take will not only define you, but also what your company stands for. The pressure to make the right choices is incredible; indecision or one small misstep can be the kiss of death in today's highly competitive, fast-moving economy. Productivity can drop off, employee morale can plummet, dissatisfied customers can flee, and your competitor may take a large bite out of your profits-while the dilemma remains unsolved. The Good, The Bad, and Your Business shows companies how to run more efficiently by improving their navigation of everyday moral business dilemmas. Respected writer and journalist Jeffrey Seglin reveals how otherwise decent people can make mistakes and find themselves in serious ethical trouble. His practical approach uses real-life examples to help you see the difference between a ""gray area"" and an outright misdeed so you can act faster when faced with such ethical decisions. Without being preachy or theoretical, The Good, The Bad, and Your Business looks at how others have faced moral dilemmas and gives you the tools to help you reach your own decisions. You'll see firsthand how businesspeople have grappled with difficult issues, from how to draw the line between lying and posturing, to whether it's ever ethical to spy on competitors, to how to align personal beliefs with business practices. You'll also discover the common misperceptions about ethics in business and learn how to define your ""comfort"" level so that you can conduct business knowing you've made thoughtful decisions with full knowledge of the possible consequences. The Good, The Bad, and Your Business: * Looks at how company owners and managers make difficult decisions as they try to keep cash flow strong enough to stay in business * Examines how to deal with employee issues, from how far to go to help a troubled employee to what policy-if any-to take on romantic relationships between coworkers * Reveals the motivations that lie behind how people decide where to ""draw the line"" on what they will and will not do * Focuses on how the decisions you make can affect the common good-the larger community in which you're doing business ""Well-written and lucid, this book does not preach; it teaches the reader how to think intelligently about hard choices. Every executive who wants to build a successful business and wants to do so with integrity-should read this book.""-Jim Collins, Coauthor, Built to Last ""It's a rare business book that can truly change your life, and Jeff Seglin's latest is just that. You'll find no grandstanding or buzzwords, but rather a compelling blend of research and worldly experience, written by a master. He's the perfect travel guide for the examined life we all must lead to achieve meaningful success. Don't miss this one!""-Steven Leveen, Cofounder and President, Levenger ""Finally a book about modern ethics and business that you don't have to get all dressed up to read! Writing with a sure touch, lively language, and a wonderful wit . . . Jeff Seglin has found a way to wake up his subject without once getting bogged down. He never lectures . . . he knows his stuff and he respects his readers' intelligence. This terrific book is the next best thing to talking to your smart, warm, and funny best friend about the toughest decisions you'll ever have to make. It's flat-out superb.""-Nancy K. Austin, Coauthor, A Passion for Excellence"
