,ISBN,Book_Title,Description,sentiment_score_neg,sentiment_score_neu,sentiment_score_pos,sentiment_score_compound,sentiment_type
28,0446310786,To Kill a Mockingbird,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",0.139,0.648,0.213,0.891,1
29,0060168013,Pigs in Heaven,"When Turtle witnesses a freak accident at the Hoover Dam, her mother responds and a man's life is saved, but their lives are changed by the incident. By the author of Animal Dreams. 100,000 first printing. $125,000 ad/promo. Tour.",0.094,0.777,0.128,0.3506,1
30,038078243X,Miss Zukas and the Raven's Dance,"An Invitation To Murder A most unusual death has landed Helma Zukas right in the middle of another murder scene. Stanley Plummer has been cataloging a collection of Native American books for Bellehaven's new Cultural Center when his body was found in the Center's ladies room -- stabbed through his heart, and clutching a Barbie doll. Miss Zukas is asked by the library to finish the cataloging. Now she's been asked by the victim -- in a letter dated the day he died -- to get to the bottom of the mystery. Unable to resist the urge to dig into the facts, Helma becomes convinced there's something hidden in the Center that the murderer wants -- and it may be worth killing another cataloger to keep it buried. . .",0.218,0.751,0.031,-0.9837,1
31,055321215X,Pride and Prejudice,"""It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife."" So begins Pride and Prejudice, Jane Austen's perfect comedy of manners--one of the most popular novels of all time--that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigues. ""Pride and Prejudice seems as vital today as ever,"" writes Anna Quindlen in her introduction to this Modern Library edition. ""It is a pure joy to read."" Eudora Welty agrees: ""The gaiety is unextinguished, the irony has kept its bite, the reasoning is still sweet, the sparkle undiminished. [It is] irresistible and as nearly flawless as any fiction could be."" This volume is the companion to the BBC television series, a lavish production aired on the Arts and Entertainment Network.",0.058,0.639,0.303,0.9908,1
32,067176537X,Therapeutic Touch,"Whether it be to relieve a headache, calm a muscle spasm, soothe a crying baby, or alleviate your own abdominal cramps. The Therapeutic Touch shows you how you can use your hands to help or to heal someone who is sick. By explaining what happens during the four different stages of therapeutic touching. Dr. Krieger shows you how to detect when a person is sick, pinpoint where the pain is, and stimulate the recuperative powers of the sick person. With accurate descriptions of the changes that take place in body temperature, levels of consciousness, and physiology during this intense interaction, this book helps you interpret your healing experience and get the most meaning from it. The Therapeutic Touch recaptures a simple, ancient mode of healing and shows how you can now become on integral part of your own or someone else's healing process.",0.103,0.797,0.1,-0.5307,1
33,0061099686,Downtown,"The year is 1966, a time of innocence, possibility, and freedom. And for Atlanta, the country, and one woman making her way in a changing world, nothing will be the same . . . After an airless childhood in Savannah, Smoky O'Donnell arrives in Atlanta, dazzled and chastened by this hectic young city on the rise. Her new job as a writer with the city's Downtown magazine introduces her to many unforgettable people and propels her into the center of momentous events that will irrevocably alter her heart, her career, and her world.",0.0,0.926,0.074,0.7783,1
35,0671888587,I'll Be Seeing You,A young news reporter on assignment at a large metropolitan hospital is horrified when she sees that a young Jane Doe whom paramedics have failed to save has a face identical to her own,0.184,0.73,0.086,-0.5574,1
36,0553582747,From the Corner of His Eye,"Koontz looks heavenward for inspiration in his newest suspense thriller, which is chock-full of signs, portents, angels, and one somewhat second-rate devil, a murky and undercharacterized guy named Junior Cain who throws his beloved wife off a fire tower on an Oregon mountain and spends the rest of the novel waiting for the retribution that will surely come. But not before a series of tragedies ensues that convince Junior that someone or something named Bartholomew is out to exact vengeance for that crime and the series of other murders that follow. --- Amazon.",0.166,0.695,0.139,-0.8385,1
37,0425182908,Isle of Dogs,"Patricia Cornwell’s novels of big-city police have taken this classic genre to a new level. Now, with this #1 New York Times bestselling novel, she outdoes herself, with a wry tale of life and turmoil behind the blue wall. Chaos breaks loose when the governor of Virginia orders that speed traps be painted on all streets and highways, and warns that speeders will be caught by monitoring aircraft flying overhead. But the eccentric island of Tangier, fourteen miles off the coast of Virginia in Chesapeake Bay, responds by declaring war on its own state. Judy Hammer, newly installed as the superintendent of the Virginia State Police, and Andy Brazil, a state trooper and Hammer’s right hand and confidant, find themselves at their wits’ end as they try to protect the public from the politicians—and vice versa—in this pitch-perfect, darkly comic romp.",0.081,0.857,0.062,-0.2382,1
38,042518630X,Purity in Death,"Lieutenant Eve Dallas must take down a group of terrorists who use a computer virus to kill in this thriller in the #1 New York Times bestselling In Death series. Louie Cogburn had spent three days holed up in his apartment, staring at his computer screen. His pounding headache was unbearable—like spikes drilling into his brain. And it was getting worse. Finally, when someone knocked at his door, Louie picked up a baseball bat, opened the door, and started swinging… The first cop on the scene fired his stunner twice and Louie died instantly. Detective Eve Dallas has taken over the investigation, but there’s nothing to explain the man’s sudden rage or death. The only clue is a bizarre message left on his computer screen: Absolute Purity Achieved. And when a second man dies under nearly identical circumstances, Dallas starts racking her brain for answers and for courage to face the impossible…that this might be a computer virus able to spread from machine to man…",0.153,0.817,0.03,-0.969,1
39,0440223571,This Year it Will be Different and Other Stories,"Presents an anthology of Christmas stories reflecting on the various ways in which the holidays serve as a catalyst to promote change, growth, and new beginnings",0.0,0.738,0.262,0.7783,1
41,0842342702,Left Behind,"The first book in the author's successful ""last days"" series follows a 747 pilot as he tries to recover from the effects of ""The Rapture."" Reprint.",0.0,0.863,0.137,0.5859,1
42,0440225701,The Street Lawyer,"After a violent encounter with a homeless man, talented corporate lawyer Michael finds himself out in the streets, lucky to be alive, and holding a top-secret file belonging to his former employers",0.104,0.665,0.231,0.5859,1
43,0060914068,"Love, Medicine, & Miracles","Explores the link between mind and body, and shows how to become a survivor.",0.0,0.828,0.172,0.3612,1
44,0156047624,All the King's Men,"As relevant today as it was 50 years ago, ""All the King's Men"" is a classic novel about American politics. Set in the 1930s, this Pulitzer Prize-winning novel traces the rise and fall of demagogue Willie Stark, a fictional character based on the real-life Huey Long of Louisiana.",0.0,0.905,0.095,0.5574,1
45,0380715899,A Soldier of the Great War,"Encountering a younger man on a road in Italy, seventy-something professor Alessandro Guiliani recounts his experiences, spinning a tale of love, loss, tragedy, madmen, dwarves, and mafiosi. Reprint.",0.204,0.669,0.128,-0.3612,1
46,0553280333,Getting Well Again,"Based on the Simontons' experience with hundreds of patients at their world-famous Cancer Counseling and Research Center, Getting Well Again introduces the scientific basis for the ""will to live."" In this revolutionary book the Simontons profile the typical ""cancer personality"": how an individual's reactions to stress and other emotional factors can contribute to the onset and progress of cancer -- and how positive expectations, self-awareness, and self-care can contribute to survival. This book offers the same self-help techniques the Simonton's patients have used to successfully to reinforce usual medical treatment -- techniques for learning positive attitudes, relaxation, visualization, goal setting, managing pain, exercise, and building an emotional support system.",0.139,0.684,0.177,0.3182,1
47,0671623249,Lonesome Dove,"A love story and an epic of the frontier, Lonesome Dove is the grandest novel ever written about the last, defiant wilderness of America. Richly authentic, beautifully written, Lonesome Dove is a book to make readers laugh, weep, dream and remember. Now a blockbuster television event. Copyright © Libri GmbH. All rights reserved.",0.144,0.503,0.353,0.9468,1
48,0679810307,Shabanu,"Shabanu, a young nomad of the Cholistan Desert, must submit to the marriage her father arranges for her, or go against centuries of tradition by defying him.",0.0,1.0,0.0,0.0,2
49,0679865691,Haveli,"Having relented to the ways of her people in Pakistan and married the rich older man to whom she was pledged against her will, Shabanu is now the victim of his family's blood feud and the malice of his other wives",0.098,0.824,0.078,0.0258,1
50,2070423204,Lieux dits,"Boire un chocolat chaud ou un vin de Tokay à Prague en compagnie de Mozart et Da Ponte, séjourner à Weimar avec Bach et Goethe, s'envoler pour le Japon, atterrir à Bombay, flâner sur l'île Saint-Louis, créer un jardin "" de curé "", admirer les cerfs-volants à Dieppe... Autant de promenades, d'escapades, de voyages ou de récréations auxquels nous invite Michel Tournier avec une gourmandise, une poésie et un talent jamais démentis.",0.0,0.899,0.101,0.7351,1
51,0345260317,The Dragons of Eden,"Dr. Carl Sagan Takes Us on a Great Reading Adventure, Offering his Vivid and Startling Insight Into the Brain of Man and Beast, the Origin of Human Intelligence, the Function of our Most Haunting Legends -- and Their Amazing Links to Recent Discoveries. Book jacket.",0.044,0.691,0.265,0.9044,1
52,0804106304,The Joy Luck Club,"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughters' memories and feelings",0.088,0.694,0.218,0.6249,1
53,1853262404,Heart of Darkness and Other Stories,"Generally regarded as the pre-eminent work of Conrad's shorter fiction, 'Heart of Darkness' is a chilling tale of horror which, as the author intended, is capable of many interpretations.",0.204,0.719,0.078,-0.4939,1
54,0312970242,Deepak Chopra's The Angel is Near,"American physician Michael Aulden stands at the center of an epic global confrontation of the body, mind, and soul, as humankind must choose between the forces of good and evil, with the fate of the entire world at stake. Original.",0.14,0.752,0.109,-0.3612,1
56,0060938412,The Accidental Virgin,"From: Venus, Goddess of Love, 120 Main, Mt. Olympus To: Stacy Temple, lapsed temptress Stacy, Stacy, Stacy. You were so promising at the beginning: Sexy, smart, personable and funny. Great on dates and really great afterward-if you know what I mean. But this is a sad state of affairs; or, in your case, non-affairs! It's been nearly an entire year and you haven't had your way with even ONE eligible male. You've been working so hard concocting sexy lingerie for Thongs.com -- and really, Stacy, if that little pink velvet bustier didn't put you in the mood, I don't know what to say! -- that you haven't even tried to be coaxed out of your own thong.com! Are you listening, Stacy? Seven days to find the perfect man -- or else! Happy hunting!",0.041,0.753,0.206,0.9774,1
57,0140067477,The Tao of Pooh,"An expert in Chinese philosophy explains facets of Taoism using Milne's famous character and explores the world of Winnie-the-Pooh through Tao, characterizing Pooh as a simple bear who subscribes to the principles of successful living",0.0,0.897,0.103,0.5859,1
58,0345465083,Seabiscuit,"Retraces the journey of Seabiscuit, a horse with crooked legs and a pathetic tail that made racing history in 1938, thanks to the efforts of a trainer, owner, and jockey who transformed a bottom-level racehorse into a legend.",0.098,0.824,0.077,-0.2023,1
59,0451625889,The Prince,"Notes, a 2-page map, an index, and an altogether remarkable Introduction by David Wootton, make this edition an ideal encounter with Machiavelli for any student of history and political theory.",0.0,0.794,0.206,0.7906,1
60,1558531025,Life's Little Instruction Book,A collection of advice on how to live a happy and rewarding life.,0.0,0.559,0.441,0.7964,1
61,0441783589,Starship Troopers,In a futuristic military adventure a recruit goes through the roughest boot camp in the universe and into battle with the Terran Mobile Infantry in what historians would come to call the First Interstellar War,0.168,0.773,0.059,-0.6369,1
62,0394895894,The Ruby in the Smoke,"In nineteenth-century London, sixteen-year-old Sally, a recent orphan, becomes involved in a deadly search for a mysterious ruby.",0.0,1.0,0.0,0.0,2
63,1569871213,Black Beauty,A horse in nineteenth-century England recounts his experiences with both good and bad masters.,0.201,0.632,0.167,-0.1531,1
65,0743403843,Decipher,"There is a signal emanating from deep within the ice of Antarctica. Atlantis has awoken. Ancient monuments all over the world - from the Pyramids of Giza, to Mexico, to the ancient sites of China - are also awakening, reacting to a brewing crisis not of this earth, connecting to each other in some kind of ancient global network. A small group of scientists is assembled to attempt to unravel the mystery. What they discover will change the world. Imagine that 12,000 years ago it really did rain for 40 days and 40 nights. That storms reigned supreme. Imagine that survivors of human civilization really were forced to take to boats or hide out in caves on mountaintops. Then consider that these same myths from around the world predict this kind of devastation will occur time and again. What could cause such a catastrophe? What occurs in nature with such frightening and predictable regularity? A pulsar. But this is not just any pulsar - the ordinary type that pulses once a second, a minute, or even a week. This pulses once every 12,000 years and sends out a gravity wave of such ferocity it beggars belief. Not only that, it's closer than anybody has ever imagined. For it lives in our own backyard. It is the Sun.",0.071,0.918,0.011,-0.8749,1
66,0060930365,My First Cousin Once Removed,"The art of being truly funny is an undervalued one in these angst-ridden times, but it is an ability that acclaimed novelist Sarah Payne Stuart has in abundance. Her talents have never been on more glorious display than in My First Cousin Once Removed, a memoir--at once hilarious, personal and sad--of her extraordinary Boston Brahmin family, whose most famous member is the legendary poet Robert Lowell, the author's first cousin (once removed).",0.0,0.759,0.241,0.9667,1
67,0060177586,Standing Firm,"The former vice president and conservative spokesman offers a personal account of his controversial years in the White House, from helping prosecute the war against Iraq to starting the ""Murphy Brown"" debate over family values. 300,000 first printing. $250,000 ad/promo.",0.178,0.719,0.104,-0.5423,1
68,0071416331,Team Bush,"LEADERSHIP STRATEGIES BEHIND ONE OF THE MOST POPULAR PRESIDENTS IN HISTORY How the Commander-in-Chief commands George W. Bush has surprised even his harshest critics with his leadership talents and discipline. As this countrys first MBA president, Bush formed his unique leadership style managing businesses, not government offices. Team Bush is the first book to explore these unique methods and tactics he has employed to become one of the nations most popular commanders in chief in recent history. From ""hiring"" the most diverse and effective cabinets in history, to dealing with the crisis and war sparked by the events of September 11th, this compelling leadership book takes readers into the mind and methods of Americas 43rd president, and shows managers how these methods can be used to boost productivity in their own organizations. This fast-paced book pulls no punches as it showcases President Bushs successes and strengths while detailing his mistakes and weaknesses. Focusing on the actual events and outcomes of Bushs first two years in office, it discusses: The strategy behind Bushs coup in the mid-term election Lessons learned from his managing of the September 11th crisis How Bush recognizes and learns from his very public mistakes",0.119,0.765,0.116,-0.2166,1
69,0375509038,The Right Man,"An account of the first year of George W. Bush's presidency explores key events, including his controversial election, the September 11th terrorist attack and its aftermath, and their long-term implications for the United States.",0.226,0.708,0.066,-0.7783,1
70,0553062042,The Daybreakers,Tyrel and Orrin Sackett travel from Tennessee to Santa Fe.,0.0,1.0,0.0,0.0,2
71,0316769487,The Catcher in the Rye,"The ""brilliant, funny, meaningful novel"" (The New Yorker) that established J. D. Salinger as a leading voice in American literature--and that has instilled in millions of readers around the world a lifelong love of books. ""If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth."" The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caufield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days.",0.028,0.857,0.115,0.8456,1
72,8445071777,El retorno del rey,"Los ejércitos del Señor Oscuro van extendiendo cada vez más su maléfica sombra por la Tierra Media. Hombres, elfos y enanos unen sus fuerzas para presentar batalla contra Sauron y sus huestes. Ajenos a estos preparativos, Frodo y Sam se internan cada vez másen el país de Mordor en su heroico viaje para destruir el Anillo de Poder en las Grietas del Destino.",0.0,1.0,0.0,0.0,2
73,0679429220,Midnight in the Garden of Good and Evil,"Shots rang out in Savannah's grandest mansion in the misty,early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverberated throughout this hauntingly beautiful city of moss-hung oaks and shaded squares. John Berendt's sharply observed, suspenseful, and witty narrative reads like a thoroughly engrossing novel, and yet it is a work of nonfiction. Berendt skillfully interweaves a hugely entertaining first-person account of life in this isolated remnant of the Old South with the unpredictable twists and turns of a landmark murder case. It is a spellbinding story peopled by a gallery of remarkable characters: the well-bred society ladies of the Married Woman's Card Club; the turbulent young redneck gigolo; the hapless recluse who owns a bottle of poison so powerful it could kill every man, woman, and child in Savannah; the aging and profane Southern belle who is the ""soul of pampered self-absorption""; the uproariously funny black drag queen; the acerbic and arrogant antiques dealer; the sweet-talking, piano-playing con artist; young blacks dancing the minuet at the black debutante ball; and Minerva, the voodoo priestess who works her magic in the graveyard at midnight. These and other Savannahians act as a Greek chorus, with Berendt revealing the alliances, hostilities, and intrigues that thrive in a town where everyone knows everyone else. Midnight in the Garden of Good and Evil: A Savannah Story is a sublime and seductive reading experience. Brilliantly conceived and masterfully written, this enormously engaging portrait of a most beguiling Southern city is certain to become a modern classic.",0.124,0.741,0.135,0.0401,1
74,0671867156,Pretend You Don't See Her,"Placed in the federal witness protection program after seeing a murder, Manhattan real-estate agent Lacey Farrell nevertheless must solve the case before she becomes the next victim",0.215,0.728,0.057,-0.7184,1
75,0312252617,Fast Women,"Following her divorce, Nell Dysart takes a job working for a detective agency and finds herself knee deep in embezzlement, bribery, blackmail, arson, adultery, murder, and passion with her boss, Gabe McKenna. 75,000 first printing.",0.121,0.801,0.078,-0.4019,1
77,0316748641,Pasquale's Nose,"Hailed for its quirkiness and charm, this book tells the story of a New York City lawyer who runs away to a small Etruscan village with his wife and baby and discovers a community of eccentrics who make them feel right at home.",0.0,0.892,0.108,0.5574,1
78,0316973742,The Gospel of Judas,"A priest experiencing a crisis of faith -- and the married woman to whom he is attracted. A scroll newly discovered near Jerusalem that, if authentic, could open Christianity to a complete reinterpretation. A tragic love affair unfolding in Fascist-dominated Rome during World War II. These are the elements of a magnificent literary entertainment -- a novel that resonates with tales of love and betrayal as it deals profoundly with questions of faith and what it means to believe. -- At once a love story, a thriller, and a rich novel of ideas.",0.124,0.563,0.313,0.9661,1
79,0446677450,"Rich Dad, Poor Dad","Argues that a good education and a secure job are not guarantees for financial success, and describes six guidelines for making money work for you.",0.085,0.621,0.294,0.7506,1
80,0451166892,The Pillars of the Earth,"Nominated as one of America’s best-loved novels by PBS’s The Great American Read #1 New York Times Bestseller Oprah's Book Club Selection The “monumental masterpiece” (Booklist) that changed the course of Ken Follett’s already phenomenal career. Look out for the prequel, The Evening and the Morning, coming from Viking in September 2020. “Follett is a master,” extolled the Washington Post on the release of The Pillars of the Earth. A departure for the bestselling thriller writer, the historical epic stunned readers and critics alike with its ambitious scope and gripping humanity. Today, it stands as a testament to Follett’s unassailable command of the written word and to his universal appeal. The Pillars of the Earth tells the story of Philip, prior of Kingsbridge, a devout and resourceful monk driven to build the greatest Gothic cathedral the world has known . . . of Tom, the mason who becomes his architect—a man divided in his soul . . . of the beautiful, elusive Lady Aliena, haunted by a secret shame . . . and of a struggle between good and evil that will turn church against state and brother against brother. A spellbinding epic tale of ambition, anarchy, and absolute power set against the sprawling medieval canvas of twelfth-century England, this is Ken Follett’s historical masterpiece.",0.073,0.822,0.105,0.8481,1
81,0553347594,McDonald's,"Perfect for fans of The Founder, this is the real-life story of the world’s premier entrepreneurial success. The growth of McDonald’s worldwide continues to astonish. In tough financial times, McDonald’s proved that ingenuity, trial and error, and gut instinct were the keys to building a service business the entire world has come to admire. McDonald’s has been a trendsetter in advertising, focusing on different demographics as well as the physically disabled. McDonald’s created McJobs, a program that employs both mentally challenged adults and senior citizens. And because its franchisees have their fingers on the pulse of the marketplace, McDonald’s has evolved successfully with the health food revolution, launching dozens of new products and moving toward environmentally safe packaging and recyclable goods. Inspiring, informative, and filled with behind-the-scenes stories, this remarkable saga offers an irresistible look inside a great American business success.",0.034,0.724,0.243,0.9882,1
82,0671621009,Creating Wealth,"Discusses principles for creating wealth includes: a wealthy mindset, an automatic pilot principle, and a win/win philosophy principle.",0.0,0.622,0.378,0.7845,1
83,0446608653,The Alibi,"In this suspenseful Southern thriller and #1 New York Times bestseller, an ambitious prosecutor investigates a high-stakes case after Charleston's most powerful real estate magnate is murdered. The sensational murder of powerful tycoon Lute Pettijohn has rocked Charleston. Prosecutor Hammond Cross sees his chance to become the city's next district attorney . . . but only if he can put a killer behind bars. Hammond's investigation turns up more than one person who wants Pettijohn dead. But when the prime suspect turns out to be a mysterious woman who holds a secret that could shatter Hammond's ambitions, he faces a moral dilemma and a haunting question: Was he set up to be the perfect alibi?",0.189,0.705,0.105,-0.9332,1
84,0446612545,The Beach House,"Jack Mullen is a driven student of the law. His brother Peter is a servant of the rich, parking the cars of the Hamptons' elite-and perhaps satisfying their more intimate needs as well. Then Peter's body is found on the beach. Jack knows the drowning was no accident, but someone's unlimited power and money have bought the cops, the judges, the system. Now Jack is learning a lesson in justice he never got in law school ... and his astonishing plan to beat the billionaires will have you reeling-and cheering-to the very last page.",0.037,0.858,0.105,0.7783,1
85,0446612618,A Kiss Remembered,"After leaving her disatrous marriage behind, Shelley Browning goes back to college to get her degree and comes face-to-face with an unforgettable man from her past. Grant Chapman had briefly taught her in high school ten years earlier. There teacher and student had shared a single, scorching, unplanned kiss that still haunts Shelley's dreams. Now, as irresistable as ever, Grant has just returned to teaching after a stint as a congressional aide in Washington...and sees no imporopriety in asking Shelley out. Isn't this what she secretly longs for? Never has Shelley felt more confused about what she really wants or what is best for them both. But a stunning accusation is about to change all that and force Shelley Browning to either take some dangerous risks -- or spend the rest of her life regretting what could have been.",0.115,0.787,0.097,-0.5854,1
86,0451208080,The Short Forever,"Stone Barrington gets caught up in a matter of international intrigue in this explosive thriller in the #1 New York Times bestselling series. In London to locate the niece of his enigmatic client, Stone Barrington soon finds himself out of his territory and out of his depth. Baffled as he is by the behavior of his quarry, Stone’s life is further complicated by two—possibly three—murders and the affectionate attentions of two former lovers. And when the intelligence services of three countries become involved, he can only hang on for the wild ride...",0.0,0.878,0.122,0.872,1
